SECID,BOARDID,SHORTNAME,PREVPRICE,LOTSIZE,FACEVALUE,STATUS,BOARDNAME,DECIMALS,SECNAME,REMARKS,MARKETCODE,INSTRID,SECTORID,MINSTEP,PREVWAPRICE,FACEUNIT,PREVDATE,ISSUESIZE,ISIN,LATNAME,REGNUMBER,PREVLEGALCLOSEPRICE,PREVADMITTEDQUOTE,CURRENCYID,SECTYPE,LISTLEVEL,SETTLEDATE,1 min,1 quarter,1 week,10 min,1 day,1 month,1 hour
KTSBP,TQBR,КСБ ап,0.3095,10000,0.04,A,Т+: Акции и ДР - безадрес.,4,"""Костромск.сбыт.комп"" ПАО",,FNDT,EQIN,,0.0005,0.311,SUR,2021-06-15,136333440,RU000A0D8PA6,KSB ap,2-01-55051-E,0.3095,0.3095,SUR,2,3,2021-06-18,2014-06-09 12:20:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 12:20:00 / 2021-06-16 18:38:09,2014-06-09 00:00:00 / 2021-06-16 21:56:20,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 12:00:00 / 2021-06-16 18:38:09
KUBE,TQBR,РСетКубань,68.6,10,100.0,A,Т+: Акции и ДР - безадрес.,1,"""Россети Кубань"" ПАО",,FNDT,EQIN,,0.1,69.0,SUR,2021-06-15,334657837,RU0009046767,Rosseti Kuban,1-02-00063-A,68.6,68.6,SUR,1,3,2021-06-18,2014-06-09 12:38:00 / 2021-06-16 14:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 12:30:00 / 2021-06-16 14:04:14,2014-06-09 00:00:00 / 2021-06-16 21:56:20,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 12:00:00 / 2021-06-16 14:04:14
KUNF,TQBR,КУЗОЦМ ао,,100,1.0,A,Т+: Акции и ДР - безадрес.,3,Каменск-Уральский завод ПАО ао,,FNDT,EQIN,,0.001,,SUR,2021-06-15,50326222,RU000A0JPGE2,KUZOCM ao,1-01-32223-D,,,SUR,1,3,2021-06-18,,,,,,,
KUZB,TQBR,КузнецкийБ,0.02692,10000,0.01,A,Т+: Акции и ДР - безадрес.,5,"Банк ""Кузнецкий"" ПАО ао",,FNDT,EQIN,,1e-05,0.02712,SUR,2021-06-15,22503490875,RU000A0JSQ66,"Bank ""Kuzneckiy""",10100609B,0.02692,0.02692,SUR,1,3,2021-06-18,2014-07-07 11:48:00 / 2021-06-16 18:59:59,2014-07-01 00:00:00 / 2021-06-16 00:00:00,2014-07-07 00:00:00 / 2021-06-16 00:00:00,2014-07-07 11:40:00 / 2021-06-16 18:49:59,2014-07-07 00:00:00 / 2021-06-16 21:56:20,2014-07-01 00:00:00 / 2021-06-16 00:00:00,2014-07-07 11:00:00 / 2021-06-16 18:59:59
KZMS,TQBR,КЗМС ао,226.0,10,10.0,A,Т+: Акции и ДР - безадрес.,0,"""КЗМС"" ПАО",,FNDT,EQIN,,1.0,226.0,SUR,2021-06-15,884760,RU000A0JNHK2,KZMS 01,1-01-30792-D,226.0,226.0,SUR,1,3,2021-06-18,,,,,,,
KZOS,TQBR,ОргСинт ао,91.2,10,1.0,A,Т+: Акции и ДР - безадрес.,1,"ПАО ""Органический синтез"" ао",,FNDT,EQIN,,0.1,91.2,SUR,2021-06-15,1785114000,RU0009089825,PAO Organicheskiy Sintez ao,1-02-55245-D,91.1,91.1,SUR,1,3,2021-06-18,2014-06-09 12:34:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 12:30:00 / 2021-06-16 18:37:10,2014-06-09 00:00:00 / 2021-06-16 21:56:20,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 12:00:00 / 2021-06-16 18:37:10
KZOSP,TQBR,ОргСинт ап,32.45,10,1.0,A,Т+: Акции и ДР - безадрес.,2,"ПАО ""Органический синтез"" ап",,FNDT,EQIN,,0.01,32.56,SUR,2021-06-15,119596000,RU0006753456,PAO Organicheskiy Sintez ap,2-02-55245-D,32.45,32.45,SUR,2,3,2021-06-18,2014-06-09 13:00:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 13:00:00 / 2021-06-16 18:49:09,2014-06-09 00:00:00 / 2021-06-16 21:56:20,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 13:00:00 / 2021-06-16 18:49:09
LIFE,TQBR,iФармсинтз,5.615,100,5.0,A,Т+: Акции и ДР - безадрес.,3,Фармсинтез ПАО ао,,FNDT,EQIN,,0.005,5.675,SUR,2021-06-15,301010754,RU000A0JR514,Farmsintez ao,1-02-09669-J,5.615,5.615,SUR,1,3,2021-06-18,2014-06-09 10:51:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:50:00 / 2021-06-16 18:47:19,2014-06-09 00:00:00 / 2021-06-16 21:56:20,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 18:47:19
LKOH,TQBR,ЛУКОЙЛ,6504.5,1,0.025,A,Т+: Акции и ДР - безадрес.,1,НК ЛУКОЙЛ (ПАО) - ао,,FNDT,EQIN,,0.5,6484.5,SUR,2021-06-15,692865762,RU0009024277,LUKOIL,1-01-00077-A,6492.0,6492.0,SUR,1,1,2021-06-18,2011-12-15 10:00:00 / 2021-06-16 21:59:59,2003-07-01 00:00:00 / 2021-06-16 00:00:00,2003-08-18 00:00:00 / 2021-06-16 00:00:00,2011-12-08 10:00:00 / 2021-06-16 21:56:19,2003-08-20 00:00:00 / 2021-06-16 21:56:20,2003-08-01 00:00:00 / 2021-06-16 00:00:00,2011-11-17 10:00:00 / 2021-06-16 21:56:19
LNTA,TQBR,Лента др,245.3,1,0.0,A,Т+: Акции и ДР - безадрес.,1,МКПАО Лента др,,FNDT,EQIN,,0.1,244.6,USD,2021-06-15,0,US52634T2006,IPJSC Lenta dr,,245.3,245.3,SUR,D,1,2021-06-18,2014-06-09 10:07:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 18:46:08,2014-06-09 00:00:00 / 2021-06-16 21:56:20,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 18:46:08
