SECID,BOARDID,SHORTNAME,PREVPRICE,LOTSIZE,FACEVALUE,STATUS,BOARDNAME,DECIMALS,SECNAME,REMARKS,MARKETCODE,INSTRID,SECTORID,MINSTEP,PREVWAPRICE,FACEUNIT,PREVDATE,ISSUESIZE,ISIN,LATNAME,REGNUMBER,PREVLEGALCLOSEPRICE,PREVADMITTEDQUOTE,CURRENCYID,SECTYPE,LISTLEVEL,SETTLEDATE,1 min,1 quarter,1 week,10 min,1 day,1 month,1 hour
MGNT,TQBR,Магнит ао,5457.5,1,0.01,A,Т+: Акции и ДР - безадрес.,1,"""Магнит"" ПАО ао",,FNDT,EQIN,,0.5,5466.5,SUR,2021-06-15,101911355,RU000A0JKQU8,Magnit,1-01-60525-P,5461.0,5461.0,SUR,1,1,2021-06-18,2011-12-15 10:01:00 / 2021-06-16 21:59:59,2011-01-01 00:00:00 / 2021-06-16 00:00:00,2011-01-10 00:00:00 / 2021-06-16 00:00:00,2011-12-08 10:00:00 / 2021-06-16 21:56:29,2011-01-12 00:00:00 / 2021-06-16 21:56:20,2011-01-01 00:00:00 / 2021-06-16 00:00:00,2011-11-17 10:00:00 / 2021-06-16 21:56:29
MGNZ,TQBR,СМЗ-ао,9670.0,1,0.25,A,Т+: Акции и ДР - безадрес.,0,Соликамский магн.завод(ОАО)ао,,FNDT,EQIN,,10.0,9680.0,SUR,2021-06-15,398272,RU0009100911,SMZ,1-01-00283-A,9670.0,9670.0,SUR,1,3,2021-06-18,2014-06-09 15:20:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 15:20:00 / 2021-06-16 18:14:20,2014-06-09 00:00:00 / 2021-06-16 21:56:20,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 15:00:00 / 2021-06-16 18:14:20
MGTS,TQBR,МГТС-5ао,2195.0,1,40.0,A,Т+: Акции и ДР - безадрес.,0,"ПАО ""МГТС"" ао (5 в)",,FNDT,EQIN,,5.0,2185.0,SUR,2021-06-15,79708751,RU0009036461,MGTS-5,1-05-00083-A,2195.0,2195.0,SUR,1,3,2021-06-18,2014-06-09 10:39:00 / 2021-06-16 16:59:59,2003-01-01 00:00:00 / 2021-06-16 00:00:00,2003-03-10 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:30:00 / 2021-06-16 16:36:19,2003-03-12 00:00:00 / 2021-06-16 21:56:20,2003-03-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 16:36:19
MGTSP,TQBR,МГТС-4ап,1496.0,1,40.0,A,Т+: Акции и ДР - безадрес.,0,"ПАО ""МГТС"" ап (4 в)",,FNDT,EQIN,,2.0,1500.0,SUR,2021-06-15,15514042,RU0009036479,MGTS-4,2-04-00083-A,1496.0,1496.0,SUR,2,3,2021-06-18,2014-06-09 10:06:00 / 2021-06-16 18:59:59,2003-01-01 00:00:00 / 2021-06-16 00:00:00,2003-03-10 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 18:49:09,2003-03-11 00:00:00 / 2021-06-16 21:56:20,2003-03-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 18:49:09
MISB,TQBR,ТНСэнМарЭл,15.3,100,0.1,A,Т+: Акции и ДР - безадрес.,1,ТНС энерго Марий Эл ПАО ао,,FNDT,EQIN,,0.1,15.0,SUR,2021-06-15,121847780,RU000A0D8K33,TNS energo Mariy El ao,1-01-50086-A,15.3,15.3,SUR,1,3,2021-06-18,2014-06-17 14:15:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-16 00:00:00 / 2021-06-16 00:00:00,2014-06-17 14:10:00 / 2021-06-16 18:46:09,2014-06-17 00:00:00 / 2021-06-16 21:56:20,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-17 14:00:00 / 2021-06-16 18:46:09
MISBP,TQBR,ТНСэМаЭл-п,11.3,100,0.1,A,Т+: Акции и ДР - безадрес.,1,ТНС энерго Марий Эл ПАО ап,,FNDT,EQIN,,0.1,11.2,SUR,2021-06-15,10652220,RU000A0D8K41,TNS energo Mariy El (pref),2-01-50086-A,11.3,11.3,SUR,2,3,2021-06-18,2014-06-11 17:02:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-11 17:00:00 / 2021-06-16 18:46:09,2014-06-11 00:00:00 / 2021-06-16 21:56:20,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-11 17:00:00 / 2021-06-16 18:46:09
MOBB,TQBR,МосОблБанк,0.698,100,1.0,N,Т+: Акции и ДР - безадрес.,3,Московский областной банк ПАО,,FNDT,EQIN,,0.002,0.692,SUR,2021-06-15,4687984112,RU000A0JS7V9,Moskovskii oblastnoi bank PAO,10101751B,0.698,0.698,SUR,1,3,2021-06-18,2014-06-09 17:13:00 / 2020-07-14 18:48:00,2014-04-01 00:00:00 / 2020-07-01 00:00:00,2014-06-09 00:00:00 / 2020-07-13 00:00:00,2014-06-09 17:10:00 / 2020-07-14 18:40:00,2014-06-09 00:00:00 / 2020-07-14 00:00:00,2014-06-01 00:00:00 / 2020-07-01 00:00:00,2014-06-09 17:00:00 / 2020-07-14 18:00:00
MOEX,TQBR,МосБиржа,176.06,10,1.0,A,Т+: Акции и ДР - безадрес.,2,ПАО Московская Биржа,,FNDT,EQIN,,0.01,175.79,SUR,2021-06-15,2276401458,RU000A0JR4A1,MoscowExchange,1-05-08443-H,176.49,176.49,SUR,1,1,2021-06-18,2013-04-04 10:07:00 / 2021-06-16 21:59:59,2013-04-01 00:00:00 / 2021-06-16 00:00:00,2013-04-01 00:00:00 / 2021-06-16 00:00:00,2013-04-04 10:00:00 / 2021-06-16 21:56:19,2013-04-04 00:00:00 / 2021-06-16 21:56:29,2013-04-01 00:00:00 / 2021-06-16 00:00:00,2013-04-04 10:00:00 / 2021-06-16 21:56:19
MORI,TQBR,Морион ао,4.31,1000,1.0,A,Т+: Акции и ДР - безадрес.,2,Морион ПАО ао,,FNDT,EQIN,,0.01,4.18,SUR,2021-06-15,164640000,RU0009092431,Morion ao,1-01-30493-D,4.31,4.31,SUR,1,3,2021-06-18,2014-08-14 13:08:00 / 2017-05-03 18:45:00,2014-07-01 00:00:00 / 2017-04-01 00:00:00,2014-08-11 00:00:00 / 2017-05-01 00:00:00,2014-08-14 13:00:00 / 2017-05-03 18:40:00,2014-08-14 00:00:00 / 2017-05-03 00:00:00,2014-08-01 00:00:00 / 2017-05-01 00:00:00,2014-08-14 13:00:00 / 2017-05-03 18:00:00
MRKC,TQBR,МРСК Центр,0.3926,1000,0.1,A,Т+: Акции и ДР - безадрес.,4,"""МРСК Центра"" ПАО ао",,FNDT,EQIN,,0.0002,0.3932,SUR,2021-06-15,42217941468,RU000A0JPPL8,MRSK Centra,1-01-10214-A,0.3926,0.3926,SUR,1,2,2021-06-18,2012-10-22 10:19:00 / 2021-06-16 18:59:59,2012-10-01 00:00:00 / 2021-06-16 00:00:00,2012-10-22 00:00:00 / 2021-06-16 00:00:00,2012-10-22 10:10:00 / 2021-06-16 18:47:19,2012-10-22 00:00:00 / 2021-06-16 21:56:29,2012-10-01 00:00:00 / 2021-06-16 00:00:00,2012-10-22 10:00:00 / 2021-06-16 18:47:19
MRKK,TQBR,Россети СК,26.88,10,1.0,A,Т+: Акции и ДР - безадрес.,2,Россети Сев. Кавказ ао,,FNDT,EQIN,,0.02,27.0,SUR,2021-06-15,889313596,RU000A0JPPQ7,Rosseti Severnyy Kavkaz ao,1-01-34747-E,26.88,26.88,SUR,1,3,2021-06-18,2014-06-09 10:48:00 / 2021-06-16 16:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:40:00 / 2021-06-16 16:05:13,2014-06-09 00:00:00 / 2021-06-16 21:56:29,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 16:05:13
MRKP,TQBR,МРСК ЦП,0.2628,10000,0.1,A,Т+: Акции и ДР - безадрес.,4,МРСК Центр. и Приволж. ао,,FNDT,EQIN,,0.0001,0.2635,SUR,2021-06-15,112697817043,RU000A0JPN96,MRSK CiP,1-01-12665-E,0.2628,0.2628,SUR,1,2,2021-06-18,2012-02-27 10:08:00 / 2021-06-16 18:59:59,2012-01-01 00:00:00 / 2021-06-16 00:00:00,2012-02-27 00:00:00 / 2021-06-16 00:00:00,2012-02-27 10:00:00 / 2021-06-16 18:46:08,2012-02-27 00:00:00 / 2021-06-16 21:56:29,2012-02-01 00:00:00 / 2021-06-16 00:00:00,2012-02-27 10:00:00 / 2021-06-16 18:46:08
MRKS,TQBR,РсетСиб ао,0.3205,10000,0.1,A,Т+: Акции и ДР - безадрес.,4,Россети Сибирь ао,,FNDT,EQIN,,0.0005,0.32,SUR,2021-06-15,94815163249,RU000A0JPPF0,Rosseti Sibir,1-01-12044-F,0.3205,0.3205,SUR,1,2,2021-06-18,2014-06-09 10:07:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 18:26:10,2014-06-09 00:00:00 / 2021-06-16 21:56:29,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 18:26:10
MRKU,TQBR,МРСК Ур,0.157,10000,0.1,A,Т+: Акции и ДР - безадрес.,4,МРСК Урала (ОАО) ао,,FNDT,EQIN,,0.0002,0.1572,SUR,2021-06-15,87430485711,RU000A0JPPT1,MRSK Urala ao,1-01-32501-D,0.157,0.157,SUR,1,2,2021-06-18,2014-06-09 11:00:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 11:00:00 / 2021-06-16 18:04:15,2014-06-09 00:00:00 / 2021-06-16 21:56:29,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 11:00:00 / 2021-06-16 18:04:15
MRKV,TQBR,РсетВол ао,0.06225,10000,0.1,A,Т+: Акции и ДР - безадрес.,5,Россети Волга ао,,FNDT,EQIN,,5e-05,0.06215,SUR,2021-06-15,188307958732,RU000A0JPPN4,Rosseti Volga,1-01-04247-E,0.06225,0.06225,SUR,1,2,2021-06-18,2014-06-09 10:13:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:10:00 / 2021-06-16 18:46:08,2014-06-09 00:00:00 / 2021-06-16 21:56:29,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 18:46:08
MRKY,TQBR,РоссЮг ао,0.04645,10000,0.1,A,Т+: Акции и ДР - безадрес.,5,Россети Юг  (ПАО) ао,,FNDT,EQIN,,5e-05,0.04645,SUR,2021-06-15,151641426354,RU000A0JPPG8,Rosseti South ao,1-01-34956-E,0.04645,0.04645,SUR,1,3,2021-06-18,2014-06-09 11:26:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 11:20:00 / 2021-06-16 18:37:10,2014-06-09 00:00:00 / 2021-06-16 21:56:29,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 11:00:00 / 2021-06-16 18:37:10
MRKZ,TQBR,МРСК СЗ,0.05,10000,0.1,A,Т+: Акции и ДР - безадрес.,5,МРСК Северо-Запада ао,,FNDT,EQIN,,5e-05,0.05,SUR,2021-06-15,95785923138,RU000A0JPPB9,MRSK Severo-Zapada,1-01-03347-D,0.05,0.05,SUR,1,2,2021-06-18,2014-06-09 11:34:00 / 2021-06-16 18:45:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 11:30:00 / 2021-06-16 18:46:07,2014-06-09 00:00:00 / 2021-06-16 21:56:29,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 11:00:00 / 2021-06-16 18:46:07
MRSB,TQBR,МордЭнСб,0.521,10000,0.0136,A,Т+: Акции и ДР - безадрес.,3,Мордовск.энергсбыт.комп.ПАО ао,,FNDT,EQIN,,0.001,0.535,SUR,2021-06-15,1345037710,RU000A0D9AJ7,Mordovskaya EnergoSbyt Comp.,1-01-55055-E,0.524,0.524,SUR,1,3,2021-06-18,2014-06-16 18:24:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-16 00:00:00 / 2021-06-16 00:00:00,2014-06-16 18:20:00 / 2021-06-16 18:36:08,2014-06-16 00:00:00 / 2021-06-16 21:56:29,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-16 18:00:00 / 2021-06-16 18:36:08
MSNG,TQBR,+МосЭнерго,2.443,1000,1.0,A,Т+: Акции и ДР - безадрес.,4,МосЭнерго акции обыкн.,,FNDT,EQIN,,0.0005,2.453,SUR,2021-06-15,39749359700,RU0008958863,MosEnrg,1-01-00085-A,2.443,2.443,SUR,1,1,2021-06-18,2011-12-15 10:06:00 / 2021-06-16 18:59:59,2003-07-01 00:00:00 / 2021-06-16 00:00:00,2003-09-08 00:00:00 / 2021-06-16 00:00:00,2011-12-08 10:00:00 / 2021-06-16 18:46:08,2003-09-11 00:00:00 / 2021-06-16 21:56:29,2003-09-01 00:00:00 / 2021-06-16 00:00:00,2011-11-17 10:00:00 / 2021-06-16 18:46:08
MSRS,TQBR,РСетиМР ао,1.1845,1000,0.5,A,Т+: Акции и ДР - безадрес.,4,ПАО Россети Моск.рег. ао,,FNDT,EQIN,,0.0005,1.189,SUR,2021-06-15,48707091574,RU000A0ET7Y7,Rosseti Moscow Region,1-01-65116-D,1.1845,1.1845,SUR,1,2,2021-06-18,2011-12-15 10:04:00 / 2021-06-16 18:59:59,2009-01-01 00:00:00 / 2021-06-16 00:00:00,2009-02-16 00:00:00 / 2021-06-16 00:00:00,2011-12-08 10:40:00 / 2021-06-16 18:49:09,2009-02-19 00:00:00 / 2021-06-16 21:56:29,2009-02-01 00:00:00 / 2021-06-16 00:00:00,2011-11-17 10:00:00 / 2021-06-16 18:49:09
MSTT,TQBR,Мостотрест,95.95,10,0.14,A,Т+: Акции и ДР - безадрес.,2,"ПАО ""МОСТОТРЕСТ"" ао",,FNDT,EQIN,,0.05,96.3,SUR,2021-06-15,282215500,RU0009177331,Mostotrest,1-03-02472-A,95.95,95.95,SUR,1,2,2021-06-18,2014-06-09 10:25:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:20:00 / 2021-06-16 18:49:09,2014-06-09 00:00:00 / 2021-06-16 21:56:29,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 18:49:09
MTLR,TQBR,Мечел ао,78.2,1,10.0,A,Т+: Акции и ДР - безадрес.,2,Мечел ПАО ао,,FNDT,EQIN,,0.01,78.99,SUR,2021-06-15,416270745,RU000A0DKXV5,Mechel,1-01-55005-E,78.2,78.2,SUR,1,1,2021-06-18,2011-12-15 10:00:00 / 2021-06-16 18:59:59,2009-01-01 00:00:00 / 2021-06-16 00:00:00,2009-03-16 00:00:00 / 2021-06-16 00:00:00,2011-12-08 10:00:00 / 2021-06-16 18:49:10,2009-03-19 00:00:00 / 2021-06-16 21:56:29,2009-03-01 00:00:00 / 2021-06-16 00:00:00,2011-11-17 10:00:00 / 2021-06-16 18:49:10
MTLRP,TQBR,Мечел ап,117.0,10,10.0,A,Т+: Акции и ДР - безадрес.,2,Мечел ПАО ап,,FNDT,EQIN,,0.05,117.45,SUR,2021-06-15,138756915,RU000A0JPV70,Mechel pref.,2-01-55005-E,117.0,117.0,SUR,2,1,2021-06-18,2011-12-15 10:00:00 / 2021-06-16 18:59:59,2011-07-01 00:00:00 / 2021-06-16 00:00:00,2011-08-01 00:00:00 / 2021-06-16 00:00:00,2011-12-08 10:00:00 / 2021-06-16 18:48:14,2011-08-04 00:00:00 / 2021-06-16 21:56:29,2011-08-01 00:00:00 / 2021-06-16 00:00:00,2011-11-17 10:00:00 / 2021-06-16 18:48:14
MTSS,TQBR,МТС-ао,344.7,10,0.1,A,Т+: Акции и ДР - безадрес.,2,Мобильные ТелеСистемы ПАО ао,,FNDT,EQIN,,0.05,344.75,SUR,2021-06-15,1998381575,RU0007775219,MTS,1-01-04715-A,344.95,344.95,SUR,1,1,2021-06-18,2011-12-15 10:00:00 / 2021-06-16 21:59:59,2010-10-01 00:00:00 / 2021-06-16 00:00:00,2010-10-18 00:00:00 / 2021-06-16 00:00:00,2011-12-08 10:00:00 / 2021-06-16 21:56:19,2010-10-21 00:00:00 / 2021-06-16 21:56:29,2010-10-01 00:00:00 / 2021-06-16 00:00:00,2011-11-17 10:00:00 / 2021-06-16 21:56:19
MVID,TQBR,М.видео,672.4,1,10.0,A,Т+: Акции и ДР - безадрес.,1,"""М.видео"" ПАО ао",,FNDT,EQIN,,0.1,669.3,SUR,2021-06-15,179768227,RU000A0JPGA0,M.video,1-02-11700-A,672.4,672.4,SUR,1,1,2021-06-18,2014-06-09 10:03:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 18:49:59,2014-06-09 00:00:00 / 2021-06-16 21:56:29,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 18:59:59
NAUK,TQBR,iНПОНаука,201.8,10,0.2,A,Т+: Акции и ДР - безадрес.,1,НПО Наука ао,,FNDT,EQIN,,0.2,201.2,SUR,2021-06-15,11789500,RU000A0JRPX9,NPO Nauka ao,1-01-04440-A,201.8,201.8,SUR,1,3,2021-06-18,2014-06-19 12:29:00 / 2021-06-16 16:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-16 00:00:00 / 2021-06-16 00:00:00,2014-06-19 12:20:00 / 2021-06-16 16:39:05,2014-06-19 00:00:00 / 2021-06-16 21:56:29,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-19 12:00:00 / 2021-06-16 16:39:05
NFAZ,TQBR,Нефтекамск,360.0,10,1.0,A,Т+: Акции и ДР - безадрес.,1,Нефтекамский автозавод ПАО ао,,FNDT,EQIN,,0.2,358.6,SUR,2021-06-15,8038896,RU0009115604,Neftekamskiy avtozavod PAO ao,1-01-30520-D,360.0,360.0,SUR,1,3,2021-06-18,2014-06-16 14:17:00 / 2021-06-16 16:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-16 00:00:00 / 2021-06-16 00:00:00,2014-06-16 14:10:00 / 2021-06-16 16:28:10,2014-06-16 00:00:00 / 2021-06-16 21:56:29,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-16 14:00:00 / 2021-06-16 16:28:10
NKHP,TQBR,НКХП ао,362.5,10,1.0,A,Т+: Акции и ДР - безадрес.,1,НКХП ПАО ао,,FNDT,EQIN,,0.5,363.0,SUR,2021-06-15,67597000,RU000A0BLWD7,NKHP ao,1-03-35684-E,363.5,363.5,SUR,1,3,2021-06-18,2015-12-15 13:02:00 / 2021-06-16 18:59:59,2015-10-01 00:00:00 / 2021-06-16 00:00:00,2015-12-14 00:00:00 / 2021-06-16 00:00:00,2015-12-15 13:00:00 / 2021-06-16 18:46:08,2015-12-15 00:00:00 / 2021-06-16 21:56:29,2015-12-01 00:00:00 / 2021-06-16 00:00:00,2015-12-15 13:00:00 / 2021-06-16 18:46:08
NKNC,TQBR,НКНХ ао,99.15,10,1.0,A,Т+: Акции и ДР - безадрес.,2,"""Нижнекамскнефтехим"" ПАО ао",,FNDT,EQIN,,0.05,98.5,SUR,2021-06-15,1611256000,RU0009100507,Niznekamskneftekhim ao,1-02-00096-A,99.05,99.05,SUR,1,3,2021-06-18,2014-06-09 13:23:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 13:20:00 / 2021-06-16 18:46:08,2014-06-09 00:00:00 / 2021-06-16 21:56:29,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 13:00:00 / 2021-06-16 18:46:08
NKNCP,TQBR,НКНХ ап,77.02,10,1.0,A,Т+: Акции и ДР - безадрес.,2,"""Нижнекамскнефтехим"" ПАО ап",,FNDT,EQIN,,0.02,76.92,SUR,2021-06-15,218983750,RU0006765096,Niznekamskneftekhim (pref),2-02-00096-A,77.02,77.02,SUR,2,3,2021-06-18,2014-06-09 10:01:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 18:49:59,2014-06-09 00:00:00 / 2021-06-16 21:56:29,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 18:59:59
NKSH,TQBR,Нижкамшина,25.64,100,1.0,A,Т+: Акции и ДР - безадрес.,2,Нижнекамскшина ПАО ао,,FNDT,EQIN,,0.02,25.4,SUR,2021-06-15,63731171,RU0009100515,Nizhnekamskshina ao,1-02-55032-D,25.12,25.12,SUR,1,3,2021-06-18,2014-06-09 16:18:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 16:10:00 / 2021-06-16 18:46:08,2014-06-09 00:00:00 / 2021-06-16 21:56:29,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 16:00:00 / 2021-06-16 18:46:08
NLMK,TQBR,НЛМК ао,266.66,10,1.0,A,Т+: Акции и ДР - безадрес.,2,"ПАО ""НЛМК"" ао",,FNDT,EQIN,,0.02,269.04,SUR,2021-06-15,5993227240,RU0009046452,NLMK ao,1-01-00102-A,266.58,266.58,SUR,1,1,2021-06-18,2014-06-09 10:00:00 / 2021-06-16 21:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 21:56:28,2014-06-09 00:00:00 / 2021-06-16 21:56:29,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 21:56:28
NMTP,TQBR,НМТП ао,7.075,100,0.01,A,Т+: Акции и ДР - безадрес.,3,НМТП (ПАО) ао,,FNDT,EQIN,,0.005,7.09,SUR,2021-06-15,19259815400,RU0009084446,NMTP,1-01-30251-E,7.075,7.075,SUR,1,3,2021-06-18,2014-06-09 10:08:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 18:47:19,2014-06-09 00:00:00 / 2021-06-16 21:56:29,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 10:00:00 / 2021-06-16 18:47:19
NNSB,TQBR,ТНСэнНН ао,2565.0,1,11.88,A,Т+: Акции и ДР - безадрес.,0,ТНС энерго Нижний Новг.ПАО ао,,FNDT,EQIN,,5.0,2575.0,SUR,2021-06-15,3919400,RU000A0ET5A1,TNS energo Nizhniy-Novgorod ao,1-01-55072-E,2565.0,2565.0,SUR,1,3,2021-06-18,2014-06-09 17:32:00 / 2021-06-16 14:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 17:30:00 / 2021-06-16 14:55:19,2014-06-09 00:00:00 / 2021-06-16 21:56:29,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 17:00:00 / 2021-06-16 14:55:19
NNSBP,TQBR,ТНСэнНН ап,837.0,1,11.88,A,Т+: Акции и ДР - безадрес.,0,ТНС энерго Нижний Новг.ПАО ап,,FNDT,EQIN,,1.0,798.0,SUR,2021-06-15,1063512,RU000A0ET5B9,TNS energo Nizhniy Novg. pref,2-01-55072-E,837.0,837.0,SUR,2,3,2021-06-18,2014-06-09 14:49:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 00:00:00 / 2021-06-16 00:00:00,2014-06-09 14:40:00 / 2021-06-16 18:37:10,2014-06-09 00:00:00 / 2021-06-16 21:56:29,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-09 14:00:00 / 2021-06-16 18:37:10
NPOF,TQBR,Физика ао,11850.0,1,120.0,A,Т+: Акции и ДР - безадрес.,0,"ОАО ""НПО Физика"" ао",,FNDT,EQIN,,50.0,11850.0,SUR,2021-06-15,90262,RU000A0JQ5X1,NPO Fizika ao,1-02-05481-A,11850.0,11850.0,SUR,1,3,2021-06-18,,,,,,,
NSVZ,TQBR,НаукаСвяз,206.0,10,1.0,A,Т+: Акции и ДР - безадрес.,1,Наука-Связь ПАО ао,,FNDT,EQIN,,0.5,206.5,SUR,2021-06-15,4701562,RU000A0JQLB6,Nauka-Svyaz ao,1-01-12689-A,206.0,206.0,SUR,1,3,2021-06-18,2014-06-16 17:07:00 / 2021-06-16 18:59:59,2014-04-01 00:00:00 / 2021-06-16 00:00:00,2014-06-16 00:00:00 / 2021-06-16 00:00:00,2014-06-16 17:00:00 / 2021-06-16 18:29:59,2014-06-16 00:00:00 / 2021-06-16 21:56:29,2014-06-01 00:00:00 / 2021-06-16 00:00:00,2014-06-16 17:00:00 / 2021-06-16 18:30:09
NVTK,TQBR,Новатэк ао,1561.6,1,0.1,A,Т+: Акции и ДР - безадрес.,1,"ПАО ""НОВАТЭК"" ао",,FNDT,EQIN,,0.2,1561.2,SUR,2021-06-15,3036306000,RU000A0DKVS5,NOVATEK,1-02-00268-E,1566.0,1566.0,SUR,1,1,2021-06-18,2011-12-15 10:00:00 / 2021-06-16 21:59:59,2009-10-01 00:00:00 / 2021-06-16 00:00:00,2009-10-05 00:00:00 / 2021-06-16 00:00:00,2011-12-08 10:00:00 / 2021-06-16 21:56:20,2009-10-09 00:00:00 / 2021-06-16 21:56:29,2009-10-01 00:00:00 / 2021-06-16 00:00:00,2011-11-17 10:00:00 / 2021-06-16 21:56:20
OGKB,TQBR,ОГК-2 ао,0.8295,1000,0.3627,A,Т+: Акции и ДР - безадрес.,4,ОГК-2 ПАО ао,,FNDT,EQIN,,0.0001,0.8326,SUR,2021-06-15,110441160870,RU000A0JNG55,OGK-2,1-02-65105-D,0.8295,0.8295,SUR,1,2,2021-06-18,2011-12-15 10:00:00 / 2021-06-16 18:59:59,2009-10-01 00:00:00 / 2021-06-16 00:00:00,2009-11-09 00:00:00 / 2021-06-16 00:00:00,2011-12-08 10:00:00 / 2021-06-16 18:46:07,2009-11-12 00:00:00 / 2021-06-16 21:56:29,2009-11-01 00:00:00 / 2021-06-16 00:00:00,2011-11-17 10:00:00 / 2021-06-16 18:46:07
